Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Dustin Ackley\ackledu01,24,us,L,R,6' 1",205,Feb 26 1988,2,153,151,153,147,0,0,11,142,0,0,0,0,0,0,4,2,0,2.6,$1500000,
Blake Beavan\beavabl01,23,us,R,R,6' 7",255,Jan 17 1989,2,26,26,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1.4,$486500,
Carter Capps\cappsca01,21,us,R,R,6' 5",230,Aug 7 1990,1st,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Mike Carp\carpmi01,26,us,L,R,6' 0",210,Jun 30 1986,4,59,48,59,47,0,0,23,0,0,0,24,0,0,24,4,11,0,0.2,$488800,
Steve Delabar\delabst01,28,us,R,R,6' 5",215,Jul 17 1983,2,34,0,1,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$480700,
Chone Figgins\figgich01,34,us,B,R,5' 8",180,Jan 22 1978,11,66,44,66,55,0,0,0,0,10,0,38,9,1,48,3,4,10,-1.2,$9000000,
Charlie Furbush\furbuch01,26,us,L,L,6' 5",215,Apr 11 1986,2,48,0,4,48,48,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,
Franklin Gutierrez\gutiefr01,29,ve,R,R,6' 2",200,Feb 21 1983,8,40,38,40,38,0,0,0,0,0,0,0,38,0,38,1,2,0,0.2,$5500000,
Felix Hernandez\hernafe02,26,ve,R,R,6' 3",225,Apr 8 1986,8,33,33,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0,5.3,$18500000,All-Star
Hisashi Iwakuma\iwakuhi01,31,jp,R,R,6' 3",210,Apr 12 1981,1st,30,16,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2.3,$1500000,
John Jaso\jasojo01,28,us,L,R,6' 2",202,Sep 19 1983,4,108,83,108,43,0,43,0,0,0,0,0,0,0,0,48,25,0,3.4,$495200,
Luis Jimenez\jimenlu01,30,ve,L,L,6' 3",280,May 7 1982,1st,7,4,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,-0.3,,
Munenori Kawasaki\kawasmu01,31,jp,L,R,5' 11",175,Jun 3 1981,1st,61,29,61,49,0,0,0,10,1,38,0,0,0,0,4,4,19,-0.4,$625000,
Shawn Kelley\kellesh01,28,us,R,R,6' 2",237,Apr 26 1984,4,47,0,5,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$600000,
Josh Kinney\kinnejo01,33,us,R,R,6' 0",220,Mar 31 1979,5,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Brandon League\leagubr01,29,us,R,R,6' 2",200,Mar 16 1983,9,46,0,4,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$5000000,
Alex Liddi\liddial01,23,it,R,R,6' 4",225,Aug 14 1988,2,38,30,38,34,0,0,5,0,23,0,7,0,0,7,0,4,0,-0.2,$481300,
Lucas Luetge\luetglu01,25,us,L,L,6' 4",205,Mar 24 1987,1st,63,0,3,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Kevin Millwood\millwke01,37,us,R,R,6' 4",230,Dec 24 1974,16,28,28,2,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$1000000,
Jesus Montero\monteje01,22,ve,R,R,6' 3",235,Nov 28 1989,2,135,132,135,56,0,56,0,0,0,0,0,0,0,0,78,3,0,-0.1,$486900,
